Id,Category
1,0
2,0
3,1
4,1
5,1
6,0
7,0
8,0
9,1
10,1
11,0
12,1
13,1
14,0
15,0
16,1
17,1
18,0
19,1
20,0
21,0
22,0
23,1
24,0
25,0
26,0
27,0
28,1
29,0
30,0
31,0
32,0
33,1
34,0
35,1
36,0
37,0
38,0
39,0
40,0
41,1
42,0
43,0
44,1
45,0
46,1
47,0
48,0
49,1
50,1
51,1
52,0
53,0
54,1
55,0
56,1
57,0
58,0
59,1
60,0
61,1
62,0
63,0
64,1
65,1
66,1
67,1
68,0
69,0
70,0
71,1
72,0
73,1
74,1
75,0
76,0
77,1
78,0
79,1
80,1
81,0
82,1
83,0
84,0
85,0
86,0
87,0
88,1
89,1
90,0
91,0
92,1
93,0
94,0
95,0
96,0
97,0
98,0
99,1
100,0
101,0
102,1
103,0
104,0
105,1
106,0
107,0
108,1
109,0
110,0
111,1
112,0
113,0
114,0
115,0
116,0
117,1
118,0
119,0
120,0
121,1
122,1
123,1
124,1
125,0
126,0
127,0
128,0
129,1
130,0
131,1
132,1
133,0
134,0
135,0
136,0
137,1
138,0
139,0
140,1
141,1
142,1
143,0
144,0
145,0
146,1
147,0
148,0
149,1
150,1
151,0
152,1
153,1
154,0
155,1
156,1
157,1
158,0
159,1
160,1
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,1
175,0
176,0
177,1
178,0
179,1
180,0
181,1
182,1
183,1
184,0
185,0
186,1
187,0
188,1
189,0
190,0
191,0
192,1
193,0
194,0
195,0
196,1
197,1
198,1
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,1
214,1
215,1
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,1
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,1
236,0
237,0
238,1
239,0
240,1
241,0
242,1
243,1
244,1
245,0
246,1
247,0
248,1
249,0
250,0
251,0
252,1
253,0
254,0
255,1
256,0
257,0
258,1
259,1
260,1
261,1
262,0
263,0
264,0
265,0
266,1
267,0
268,1
269,1
270,0
271,0
272,0
273,0
274,1
275,0
276,0
277,0
278,1
279,0
280,0
281,1
282,0
283,0
284,0
285,0
286,0
287,1
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,1
299,1
300,1
301,1
302,0
303,0
304,1
305,1
306,1
307,0
308,1
309,0
310,1
